##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	11_2H_both_S9_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	17919193
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1106	94-95	-0.14781430368455517
1106	96-97	-0.11705546360089158
1106	98-99	-0.06304017662238692
1106	100-101	-0.06456413988308185
1107	1	-0.530826709330622
1107	2	-0.25131435360792054
1107	3	-0.7243078016940032
1107	4	-0.7362929366189377
1107	5	-0.5827698158315329
1107	6	-0.7171597974828217
1107	7	-0.6084092434613027
1107	8	-0.5848903955599383
1107	9	-0.5697974665934495
1107	10-11	-0.6001300407690024
1107	12-13	-0.5517128652343857
1107	14-15	-0.5259521398027118
1107	16-17	-0.16676912119776688
1107	18-19	-0.06542536832991175
1107	20-21	-0.07132032544313205
1107	22-23	-0.050366214516941454
1107	24-25	0.006645300858146186
1107	26-27	0.02243322176029494
1107	28-29	0.0018165389658193476
1107	30-31	-0.17691408383001317
1107	32-33	0.05358329878193757
1107	34-35	-0.020662137288134375
1107	36-37	-0.05909828067053269
1107	38-39	-0.17355466888116666
1107	40-41	-0.1405048147193
1107	42-43	-0.1341398018673985
1107	44-45	-0.07641140047048367
1107	46-47	-0.007519303266043664
1107	48-49	0.08321423002934836
1107	50-51	0.06480921841409071
1107	52-53	-0.05970118987644213
1107	54-55	0.1634242789702256
1107	56-57	-0.05169313839751055
1107	58-59	0.026108911641962607
1107	60-61	0.0504050507668623
1107	62-63	-0.07780051498969698
1107	64-65	-0.02787349748701473
1107	66-67	0.045720777071231566
1107	68-69	0.047731126017069414
1107	70-71	-0.04146441861053063
1107	72-73	0.009242219296822896
1107	74-75	0.013764728762382106
1107	76-77	-0.0015752208266590628
1107	78-79	0.1773262648951217
1107	80-81	-0.004011478258149737
1107	82-83	-0.0901580067703378
1107	84-85	0.009130274417614714
1107	86-87	-0.03720076093781444
1107	88-89	-0.0949141991310043
1107	90-91	-0.10376407486049999
1107	92-93	-0.09620119753689949
1107	94-95	-0.03947366874817959
1107	96-97	-0.0893303269731831
1107	98-99	0.04379307970695123
1107	100-101	0.1304292661965505
1108	1	-0.6678393243919594
1108	2	-0.3184375000572359
1108	3	-1.0981444601491077
1108	4	-0.8384870249366543
1108	5	-0.47034033000416997
1108	6	-0.833899815445001
1108	7	-0.7331188490304825
1108	8	-0.6224398523739367
1108	9	-0.5604599905898269
1108	10-11	-0.7099718282025052
1108	12-13	-0.6951590257602049
1108	14-15	-0.7833761048271768
1108	16-17	-0.1848873389595056
1108	18-19	-0.03991339219332701
1108	20-21	0.018055155697382475
1108	22-23	-0.0051702978060603755
1108	24-25	0.08738490217839967
1108	26-27	0.05974654403230062
1108	28-29	-0.03708639275186698
1108	30-31	-0.04796713714922163
1108	32-33	0.08336394348442155
1108	34-35	-0.012619287058626583
1108	36-37	-0.01808588992433613
1108	38-39	-0.1936251080672875
1108	40-41	-0.14141169164737732
1108	42-43	-0.042758460400030174
1108	44-45	0.018761835229575752
1108	46-47	0.05818105463469436
1108	48-49	0.1562073086557234
1108	50-51	0.065213220304706
1108	52-53	-0.017003753304869917
1108	54-55	0.2129779172723616
1108	56-57	0.0503307803782036
1108	58-59	0.07573637434585834
1108	60-61	0.15389852345933974
1108	62-63	0.030469160769285963
1108	64-65	0.07664102550331364
1108	66-67	0.06527905533945244
1108	68-69	0.1679557835192682
1108	70-71	0.08545981987374773
1108	72-73	0.1032718982704921
1108	74-75	0.11855261793867555
1108	76-77	0.13221270427045084
1108	78-79	0.19556212583959365
1108	80-81	0.09057209301898439
1108	82-83	0.09983302910553249
1108	84-85	0.13897516463499215
1108	86-87	0.07518638215598372
1108	88-89	0.019644242769196296
1108	90-91	0.004167206011260305
1108	92-93	0.07767054678577523
1108	94-95	0.12667456379904252
1108	96-97	0.1291928102519364
1108	98-99	0.19511043385757176
1108	100-101	0.14136514734635597
1109	1	-0.36618531483615513
1109	2	-0.25443023867508785
